INSTNM,CITY,STATE,STABBR,ZIP,LATITUDE,LONGITUDE,INSTURL
A Better U Beauty Barber Academy,Albuquerque,New Mexico ,NM,87110,35.11063,-106.583765,https://abuacademy.com/
A T Still University of Health Sciences,Kirksville,Missouri ,MO,63501,40.193648,-92.589183,www.atsu.edu/
ABC Adult School,Cerritos,California ,CA,90703-2801,33.878179,-118.070114,https://www.abcadultschool.edu/
ABC Adult School - Cabrillo Lane,Cerritos,California ,CA,90703-7748,nan,nan,nan
ABC Beauty Academy,Richardson,Texas ,TX,75081,32.931698,-96.685333,www.abcbeautyacademy.webs.com/
ABCO Technology,Inglewood,California ,CA,90304-1551,33.932121,-118.369774,www.abcotechnology.edu/
AI Miami International University of Art and Design,Miami,Florida ,FL,33132-1418,25.790008,-80.18839,www.artinstitutes.edu/miami/
AMG School of Nursing,Brooklyn,New York ,NY,11201-1728,40.692794,-73.982035,amg.edu/
AOMA Graduate School of Integrative Medicine,Austin,Texas ,TX,78745,30.228551,-97.800643,https://aoma.edu/
ASA College,Brooklyn,New York ,NY,11201-9805,40.691464,-73.986076,https://www.asa.edu/
ASI Career Institute,Turnersville,New Jersey ,NJ,08012-1043,39.756604,-75.045442,www.asi.edu/
ASPIRA City College,Philadelphia,Pennsylvania ,PA,19140-2302,40.017493,-75.135042,https://www.aspiracitycollege.edu/
ATA Career Education,Spring Hill,Florida ,FL,34606,28.452699,-82.595376,www.atafl.edu/
ATA College,Louisville,Kentucky ,KY,40223,38.223667,-85.563365,www.ata.edu/
ATA College,Tulsa,Oklahoma ,OK,74146,36.098554,-95.856621,www.tulsa.ata.edu/
ATA College,El Cajon,California ,CA,92020,32.819023,-116.981781,www.advancedtraining.edu/
ATA College-Cincinnati,Cincinnati,Ohio ,OH,45246,39.29671,-84.478867,www.ata.edu/
ATI College-Whittier,Whitter,California ,CA,90603-0000,33.948364,-118.003687,www.ati.edu/
Aaniiih Nakoda College,Harlem,Montana ,MT,59526,48.484196,-108.757816,www.ancollege.edu/
Abcott Institute,Southfield,Michigan ,MI,48075-5227,42.446331,-83.210617,www.abcott.edu/
Abilene Christian University,Abilene,Texas ,TX,79699,32.468943,-99.709797,www.acu.edu/
Abraham Baldwin Agricultural College,Tifton,Georgia ,GA,31793-2601,31.481889,-83.528281,https://www.abac.edu/
Abraham Lincoln University,Glendale,California ,CA,91210,34.146294,-118.256726,https://www.alu.edu/
Academia Serrant Inc,Ponce,Puerto Rico ,PR,00717-1250,18.009658,-66.61529,www.serrant.edu/
Academy College,Bloomington,Minnesota ,MN,55431-1411,44.855722,-93.299809,www.academycollege.edu/
Academy Di Capelli -,East Hartford,Connecticut ,CT,06108-3839,nan,nan,nan
Academy Di Capelli-School of Cosmetology,Wallingford,Connecticut ,CT,06492,41.490402,-72.806335,www.academydicapelli.com/
Academy di Firenze,Jerome,Idaho ,ID,83338-2329,42.723871,-114.519826,www.academydifirenze.com/
Academy for Careers and Technology,Mullins,South Carolina ,SC,29574-6009,34.186433,-79.340157,www.mcact.org/
Academy for Five Element Acupuncture,Gainesville,Florida ,FL,32601,29.650075,-82.321994,www.acupuncturist.edu/
Academy for Jewish Religion-California,Los Angeles,California ,CA,90024,34.070281,-118.438495,www.ajrca.edu/
Academy for Nursing and Health Occupations,West Palm Beach,Florida ,FL,33417,26.70653,-80.121497,www.anho.edu/
Academy for Salon Professionals,Northridge,California ,CA,91324,34.23396,-118.558215,www.academyla.com/
Academy of Art University,San Francisco,California ,CA,94105,37.787943,-122.400578,www.academyart.edu/
Academy of Beauty Professionals,Madison,Wisconsin ,WI,53719,43.05541,-89.490781,abpwi.com/
Academy of Beauty Professionals,Appleton,Wisconsin ,WI,54914-5780,44.266271,-88.461527,abpwi.com/
Academy of Beauty Professionals,Green Bay,Wisconsin ,WI,54303-4838,44.52349,-88.097926,abpi.com/
Academy of Career Training,Kissimmee,Florida ,FL,34741,28.306092,-81.439569,academyofcareertraining.com/
Academy of Careers and Technology,Beckley,West Virginia ,WV,25801,37.795299,-81.165435,www.wvact.net/
Academy of Chinese Culture and Health Sciences,Oakland,California ,CA,94612,37.805972,-122.269839,www.acchs.edu/
Academy of Cosmetology,Merritt Island,Florida ,FL,32953,28.394053,-80.70372,academyofcosmetology.edu/
Academy of Cosmetology Inc,Bozeman,Montana ,MT,59715-3544,45.680544,-111.039848,www.academycosmetology.com/
Academy of Cosmetology and Esthetics NYC,Staten Island,New York ,NY,10306,40.573227,-74.114517,paulmitchell.edu/nyc
Academy of Esthetics and Cosmetology,San Fernando,California ,CA,91340-3212,34.285043,-118.444228,www.aecosmetology.com/
Academy of Hair Design - Austin,Austin,Texas ,TX,78741-1338,nan,nan,www.aohd.com/
Academy of Hair Design-Grenada,Grenada,Mississippi ,MS,38901,33.775198,-89.825313,www.academyofhair.com/grenada-campus
Academy of Hair Design-Jackson,Jackson,Mississippi ,MS,39211,32.376376,-90.147044,www.academyofhair.com/
Academy of Hair Design-Jasper,Jasper,Texas ,TX,75951,30.908648,-94.004879,lufkinhairdesign.com/
Academy of Hair Design-Las Vegas,Las Vegas,Nevada ,NV,89146,36.15846,-115.210473,www.ahdvegas.com/
Academy of Hair Design-Lufkin,Lufkin,Texas ,TX,75904,31.330724,-94.718704,lufkinhairdesign.com/
Academy of Hair Design-Oklahoma City,Oklahoma City,Oklahoma ,OK,73134-8055,35.612955,-97.557189,www.academyofhairdesignok.com/
Academy of Hair Design-Pearl,Pearl,Mississippi ,MS,39208,32.281983,-90.115129,www.academyofhair.com/
Academy of Hair Design-Springfield,Springfield,Missouri ,MO,65804,37.180584,-93.261354,aohd.com/
Academy of Hair Technology,Greenville,South Carolina ,SC,29615-2363,34.874681,-82.327426,www.hairchamps.com/
Academy of Interactive Entertainment,Seattle,Washington ,WA,98109-4623,47.621224,-122.351158,https://seattle.aie.edu/
Academy of Interactive Entertainment,Lafayette,Louisiana ,LA,70506-4293,30.220037,-92.043315,www.lafayette.aie.edu/
Academy of Massage and Bodywork,Bear,Delaware ,DE,19701,39.628779,-75.666786,www.massage-academy.com/
Academy of Natural Therapy Inc,Greeley,Colorado ,CO,80631-9441,40.426259,-104.691075,www.natural-therapy.com/
Academy of Professional Cosmetology,Rogers,Arkansas ,AR,72756-2028,36.35541,-94.157411,www.apcschools.com/
Academy of Salon Professionals,Sedalia,Missouri ,MO,65301,38.690729,-93.251559,www.academyofsalonprofessionals.com/
Academy of Salon and Spa,Fort Smith,Arkansas ,AR,72901,35.38097,-94.41616,www.academysalonspa.com/
Academy of Vocal Arts,Philadelphia,Pennsylvania ,PA,19103-6685,39.94796,-75.173735,www.avaopera.org/
Acaydia School of Aesthetics,Provo,Utah ,UT,84601-0000,40.234627,-111.65823,www.acaydia.com/
Access Careers,Hempstead,New York ,NY,11550-0000,40.709502,-73.61531,www.accesscareers.net/
Access Careers-Islandia,Islandia,New York ,NY,11749-1599,40.800874,-73.175617,www.accesscareers.net/
Ace Cosmetology and Barber Training Center,Waterbury,Connecticut ,CT,06705,41.593956,-72.987416,acetrainingcenters.com/
Ace Institute of Technology,New York,New York ,NY,10018,40.753658,-73.993385,www.acecareer.edu/
Acupuncture and Integrative Medicine College-Berkeley,Berkeley,California ,CA,94704,37.862754,-122.267636,https://www.aimc.edu/
Acupuncture and Massage College,Miami,Florida ,FL,33176,25.686382,-80.364141,www.amcollege.edu/
Adams State University,Alamosa,Colorado ,CO,81101,37.473636,-105.879642,www.adams.edu/
Adelphi University,Garden City,New York ,NY,11530-0701,40.721439,-73.653321,www.adelphi.edu/
Adler Graduate School,Minnetonka,Minnesota ,MN,55343,44.893479,-93.410236,www.alfredadler.edu/
Adler University,Chicago,Illinois ,IL,60602,41.882414,-87.629156,https://www.adler.edu/
Adrian College,Adrian,Michigan ,MI,49221-2575,41.898591,-84.061481,www.adrian.edu/
Adrian H. Wallace Barber Academy,Pensacola,Florida ,FL,32503-2802,30.453536,-87.213526,https://www.ahwbarberacademy.com/
Adrian's Beauty College of Turlock,Turlock,California ,CA,95380,37.491448,-120.863784,www.adrians.edu/
Adult and Community Education-Hudson,Columbus,Ohio ,OH,43211,40.012851,-82.980603,https://www.ccsoh.us/site/Default.aspx?PageID=334
Adult and Continuing Education-BCTS,Hackensack,New Jersey ,NJ,07601-6637,40.900877,-74.035045,bcts.bergen.org/index.php/adedprograms/full-time-adult-day-program
Advance Beauty College,Garden Grove,California ,CA,92843,33.759905,-117.952637,www.advancebeautycollege.com/
Advance Beauty Techs Academy,San Jacinto,California ,CA,92583-6572,33.884074,-117.517655,www.abt.edu/
Advance Science International College,Miami Lakes,Florida ,FL,33014,25.924708,-80.284567,www.asicollege.edu/
Advanced Barber College and Hair Design,Weslaco,Texas ,TX,78596,26.131543,-97.958247,abcrgv.com/
Advanced Beauty College,Irving,Texas ,TX,75038,32.859493,-96.9927,www.advancedbeautycollege.net/
Advanced Career Institute,Visalia,California ,CA,93291,36.344669,-119.38533,https://advanced.edu/
Advanced College,South Gate,California ,CA,90280,33.915383,-118.15794,www.advancedcollege.edu/
Advanced College - Salida,Salida,California ,CA,95368-9072,nan,nan,www.advancedcollege.edu/
Advanced College of Cosmetology,Waupun,Wisconsin ,WI,53963-0000,43.632848,-88.736198,www.accsuccess.com/
Advanced College-Stockton,Stockton,California ,CA,95120-3145,nan,nan,www.advancedcollege.edu/
Advanced Technology Institute,Virginia Beach,Virginia ,VA,23462,36.841381,-76.182268,www.auto.edu/
Advanced Training Institute,Las Vegas,Nevada ,NV,89118-1519,36.09589,-115.206821,www.atitraining.edu/
Advanced Welding Institute,South Burlington,Vermont ,VT,05403,44.45588,-73.139437,www.awi.edu/
Advantage Career Institute,Eatontown,New Jersey ,NJ,07724,40.279075,-74.049694,www.aci.edu/
Advantage Technical College,Manati,Puerto Rico ,PR,00674,18.428049,-66.493084,https://www.adtecpr.com/
Advantage Technical College,San Juan,Puerto Rico ,PR,00907-0000,18.454692,-66.081082,https://www.adtecpr.com/
Advantage Technical College-Aguadilla,Aguadilla,Puerto Rico ,PR,00603-0000,18.433012,-67.154491,https://www.adtecpr.com/
AdventHealth University,Orlando,Florida ,FL,32803,28.576142,-81.367687,www.ahu.edu/
Aesthetic Science Institute,Latham,New York ,NY,12110-1095,42.76194,-73.794947,www.aestheticscienceinstitute.edu/
Agnes Scott College,Decatur,Georgia ,GA,30030-3770,33.769268,-84.295459,www.agnesscott.edu/
Aiken School of Cosmetology and Barbering,Aiken,South Carolina ,SC,29801,33.559545,-81.71728,www.ascandb.com/
Aiken Technical College,Graniteville,South Carolina ,SC,29829,33.533833,-81.841666,https://www.atc.edu/
Aims Community College,Greeley,Colorado ,CO,80634,40.409559,-104.763415,www.aims.edu/
Air Force Institute of Technology-Graduate School of Engineering & Management,Wright-Patterson AFB,Ohio ,OH,45433-7765,39.782221,-84.082618,www.afit.edu/
Alabama A & M University,Normal,Alabama ,AL,35762,34.783368,-86.568502,www.aamu.edu/
Alabama College of Osteopathic Medicine,Dothan,Alabama ,AL,36303-2251,31.206294,-85.340805,https://www.acom.edu/
Alabama School of Nail Technology & Cosmetology,Jackson,Alabama ,AL,36545-2718,31.50997,-87.893386,www.alabamaschoolofnailtechnology.com/
Alabama State College of Barber Styling,Gardendale,Alabama ,AL,35071,33.643546,-86.810488,www.ascbs.edu/
Alabama State University,Montgomery,Alabama ,AL,36104-0271,32.364317,-86.295677,www.alasu.edu/
Alamance Community College,Graham,North Carolina ,NC,27253-8000,36.066683,-79.357657,www.alamancecc.edu/
Alamo City Barber College,San Antonio,Texas ,TX,78250-3227,29.52717,-98.639532,www.alamocitybarbercollege.com/
Alaska Bible College,Palmer,Alaska ,AK,99645,61.598553,-149.111972,www.akbible.edu/
Alaska Career College,Anchorage,Alaska ,AK,99507-1033,61.181443,-149.856954,www.alaskacareercollege.edu/
Alaska Christian College,Soldotna,Alaska ,AK,99669,60.490459,-151.136005,www.alaskacc.edu/
Alaska Pacific University,Anchorage,Alaska ,AK,99508,61.190968,-149.804168,www.alaskapacific.edu/
Alaska Vocational Technical Center,Seward,Alaska ,AK,99664-0889,60.110626,-149.444487,www.avtec.edu/
Albany BOCES-Adult Practical Nursing Program,Albany,New York ,NY,12205,42.745685,-73.835752,https://www.capitalregionboces.org/adult-education/classes-programs/
Albany College of Pharmacy and Health Sciences,Albany,New York ,NY,12208-3492,42.650371,-73.779063,www.acphs.edu/
Albany Law School,Albany,New York ,NY,12208,42.651818,-73.777495,www.albanylaw.edu/
Albany Medical College,Albany,New York ,NY,12208-3479,42.65382,-73.777289,www.amc.edu/
Albany State University,Albany,Georgia ,GA,31705,31.56928,-84.141825,https://www.asurams.edu/
Albany Technical College,Albany,Georgia ,GA,31701,31.55434,-84.174284,www.albanytech.edu/
Albert Einstein College of Medicine,Bronx,New York ,NY,10461-1900,40.852847,-73.846327,www.einsteinmed.org/
Albertus Magnus College,New Haven,Connecticut ,CT,06511-1189,41.332519,-72.923848,https://www.albertus.edu/
Albion College,Albion,Michigan ,MI,49224,42.245049,-84.745639,www.albion.edu/
Albizu University-Miami,Miami,Florida ,FL,33172-2209,25.794178,-80.356315,https://www.albizu.edu/
Albizu University-San Juan,San Juan,Puerto Rico ,PR,00902-3711,18.466573,-66.113908,https://www.albizu.edu/
Albright College,Reading,Pennsylvania ,PA,19612-5234,40.361351,-75.909742,www.albright.edu/home/
Alcorn State University,Alcorn State,Mississippi ,MS,39096-7500,31.877216,-91.142854,www.alcorn.edu/
Alder Graduate School of Education,Redwood City,California ,CA,94062,37.486305,-122.239258,https://aldergse.edu/
Alderson Broaddus University,Philippi,West Virginia ,WV,26416-2035,39.158067,-80.047728,ab.edu/
Alexander Academy,Lunenburg,Massachusetts ,MA,01462-0000,42.587705,-71.769406,www.alexanderacademy.com/
Alexander Paul Institute of Hair Design,Greenville,North Carolina ,NC,27858-3344,35.604962,-77.371696,https://www.alexanderpaul.edu/
Alexandria School of Scientific Therapeutics,Alexandria,Indiana ,IN,46001-0287,40.255608,-85.674016,www.assti.com/
Alexandria Technical & Community College,Alexandria,Minnesota ,MN,56308,45.873107,-95.372369,www.alextech.edu/
Alfred University,Alfred,New York ,NY,14802-1205,42.254476,-77.788106,www.alfred.edu/
Alhambra Beauty College,Alhambra,California ,CA,91801,34.093916,-118.129041,alhambrabeauty.edu/
Alhambra Medical University,Alhambra,California ,CA,91803,34.080181,-118.148684,www.amu.edu/
Alice Lloyd College,Pippa Passes,Kentucky ,KY,41844,37.335087,-82.875068,www.alc.edu/
All Beauty College,Lake Havasu City,Arizona ,AZ,86403-2974,34.49606,-114.338235,abcollege.edu/
All Beauty College,Bullhead City,Arizona ,AZ,86442,35.101946,-114.5945,abcollege.edu/
All Beauty College,Kingman,Arizona ,AZ,86401-2561,35.239812,-114.027481,abcollege.edu/
All-State Career School,Essington,Pennsylvania ,PA,19029,39.866057,-75.303038,www.allstatecareer.edu/
All-State Career School-Pittsburgh,West Mifflin,Pennsylvania ,PA,15122,40.358492,-79.93713,www.allstatecareer.edu/
All-State Career-Baltimore,Baltimore,Maryland ,MD,21224,39.264664,-76.544942,https://www.allstatecareer.edu/
Allan Hancock College,Santa Maria,California ,CA,93454-6399,34.943716,-120.421144,www.hancockcollege.edu/
Allegany College of Maryland,Cumberland,Maryland ,MD,21502-2596,39.652152,-78.730398,www.allegany.edu/
Allegheny College,Meadville,Pennsylvania ,PA,16335-3902,41.64869,-80.147168,https://allegheny.edu/
Allegheny Wesleyan College,Salem,Ohio ,OH,44460-9598,40.86722,-80.861232,awc.edu/
Allegiance Beauty School,Norfolk,Virginia ,VA,23505,36.739517,-76.563917,absbeautyschool.edu/
Allen College,Waterloo,Iowa ,IA,50703-1999,42.530084,-92.340148,www.allencollege.edu/
Allen County Community College,Iola,Kansas ,KS,66749,37.938038,-95.396377,https://www.allencc.edu/
Allen School-Brooklyn,Brooklyn,New York ,NY,11201,40.693797,-73.991546,www.allenschool.edu/
Allen School-Jamaica,Jamaica,New York ,NY,11432,40.704694,-73.796295,www.allenschool.edu/
Allen School-Phoenix,Phoenix,Arizona ,AZ,85053-4064,33.629635,-112.11743,www.allenschool.edu/
Allen University,Columbia,South Carolina ,SC,29204,34.010348,-81.020045,www.allenuniversity.edu/
Allgood Beauty Institute,Frisco,Texas ,TX,75033-4112,33.15731,-96.804131,allgoodbeauty.com/
Alliance Career Center,Alliance,Ohio ,OH,44601,40.911271,-81.111225,www.accrtw.org/
Alliance Computing Solutions,Flushing,New York ,NY,11354-6507,40.76156,-73.831481,www.acs.edu/
Alliance Computing Solutions - NYC,New York,New York ,NY,10018-4313,nan,nan,www.acs.edu/
Alliant International University-Fresno,Fresno,California ,CA,93727,nan,nan,https://www.alliant.edu/
Alliant International University-Irvine,Irvine,California ,CA,92606,nan,nan,https://www.alliant.edu/
Alliant International University-Los Angeles,Alhambra,California ,CA,91803,nan,nan,https://www.alliant.edu/
Alliant International University-Sacramento,Sacramento,California ,CA,95833,nan,nan,https://www.alliant.edu/
Alliant International University-San Diego,San Diego,California ,CA,92131,32.897056,-117.094398,https://www.alliant.edu/
Alliant International University-San Francisco,Emeryville,California ,CA,94608,nan,nan,https://www.alliant.edu/
Allied Health Careers Institute,Murfreesboro,Tennessee ,TN,37130-5996,35.827799,-86.391495,www.ahci.edu/
Allstate Hairstyling & Barber College,Cleveland,Ohio ,OH,44113-3413,41.484002,-81.704403,www.allstatehairstyling.com/
Allure Beauty College,Whitesburg,Kentucky ,KY,41858,37.123363,-82.838909,www.allurebeautycollege.com/
Alma College,Alma,Michigan ,MI,48801-1599,43.38004,-84.672053,alma.edu/
Alpena Community College,Alpena,Michigan ,MI,49707,45.081647,-83.445069,www.alpenacc.edu/
Altierus Career College-Bissonnet,Houston,Texas ,TX,77036-8001,29.677415,-95.544702,https://www.altierus.edu/
Altierus Career College-Norcross,Norcross,Georgia ,GA,30093-2813,33.934121,-84.155475,https://www.altierus.edu/
Altierus Career College-Tampa,Tampa,Florida ,FL,33614-5801,27.996582,-82.497616,https://www.altierus.edu/
Altoona Beauty School Inc,Altoona,Pennsylvania ,PA,16602-6039,40.501861,-78.387852,www.altoonabeautyschool.com/
Altura College,Pullman,Washington ,WA,99163-5842,46.717811,-117.165734,www.alturacollege.com/
Alvernia University,Reading,Pennsylvania ,PA,19607-1799,40.310028,-75.936754,https://www.alvernia.edu/
Alverno College,Milwaukee,Wisconsin ,WI,53234-3922,42.982842,-87.965174,https://www.alverno.edu/
Alvin Community College,Alvin,Texas ,TX,77511-4898,29.396244,-95.240671,www.alvincollege.edu/
Amarillo College,Amarillo,Texas ,TX,79109,35.187839,-101.846988,www.actx.edu/
Amberton University,Garland,Texas ,TX,75041-5595,32.859931,-96.65302,www.amberton.edu/
Ambria College of Nursing,Hoffman Estates,Illinois ,IL,60192,42.075628,-88.2109,ambria.edu/
AmeriTech College-Draper,Draper,Utah ,UT,84020-6545,40.527932,-111.892792,www.ameritech.edu/
America Evangelical University,Gardena,California ,CA,90247-4432,34.041239,-118.308661,www.aeu.edu/
American Academy McAllister Institute of Funeral Service,New York,New York ,NY,10036,40.757105,-73.986466,www.funeraleducation.org/
American Academy of Art College,Chicago,Illinois ,IL,60604-4302,41.87742,-87.624788,https://www.aaart.edu/
American Academy of Cosmetology,Orange Park,Florida ,FL,32065,30.123757,-81.798803,www.aacschool.com/
American Academy of Dramatic Arts-Los Angeles,Los Angeles,California ,CA,90028,34.095378,-118.343701,www.aada.edu/
American Academy of Dramatic Arts-New York,New York,New York ,NY,10016,40.745545,-73.984843,www.aada.edu/
American Academy of Health and Beauty,Manchester,New Hampshire ,NH,03102-5263,42.967431,-71.480701,https://myaahb.com/
American Academy of Health and Wellness,Roseville,Minnesota ,MN,55113,45.015332,-93.18106,www.acupunctureschoolusa.com/
American Advanced Technicians Institute,Hialeah,Florida ,FL,33014,25.884901,-80.323025,www.aati.edu/
American Baptist College,Nashville,Tennessee ,TN,37207-9980,36.202623,-86.789912,www.abcnash.edu/
American Barber and Beauty Academy,Reading,Pennsylvania ,PA,19607-1602,40.316547,-75.939691,americanbarberacademy.com/
American Beauty Academy,Payson,Utah ,UT,84651,40.034634,-111.733488,www.americanbeauty.edu/
American Beauty Academy-West Valley Campus,West Valley City,Utah ,UT,84119,40.692128,-111.938189,americanbeautyutah.com/
American Beauty College,West Covina,California ,CA,91790,34.069367,-117.936959,https://www.americanbeautycollege.edu/
American Beauty School,Bronx,New York ,NY,10462,40.835331,-73.860639,www.americanbeautyschool.edu/
American Beauty Schools,Miami,Florida ,FL,33144-0000,25.761572,-80.327707,www.americanbeautyschools.com/
American Business and Technology University,St Joseph,Missouri ,MO,64506,39.779095,-94.819797,https://abtu.edu/
American Career College-Anaheim,Anaheim,California ,CA,92801-0000,33.849912,-117.975599,https://americancareercollege.edu/
American Career College-Los Angeles,Los Angeles,California ,CA,90004,34.079323,-118.292481,https://americancareercollege.edu/
American Career College-Ontario,Ontario,California ,CA,91764,34.068204,-117.583814,https://americancareercollege.edu/
American College of Acupuncture and Oriental Med,Houston,Texas ,TX,77063-4104,29.735747,-95.524765,www.acaom.edu/
American College of Barbering,Louisville,Kentucky ,KY,40229-2862,38.084678,-85.670147,www.americancollegeofbarbering.com/
American College of Barbering - Florence,Florence,Kentucky ,KY,41042-1801,nan,nan,https://www.amricancollegeofbarbering.com/
American College of Education,Indianapolis,Indiana ,IN,46204,39.76975,-86.160161,www.ace.edu/
American College of Financial Services,King of Prussia,Pennsylvania ,PA,19406,40.101644,-75.394652,https://www.theamericancollege.edu/
American College of Hair Design Inc,Sedalia,Missouri ,MO,65301,38.711715,-93.269026,www.americancollegeofhairdesign.com/
American College of Healthcare Sciences,Portland,Oregon ,OR,97239,45.486902,-122.675858,www.achs.edu/
American College of Healthcare and Technology,Huntington Park,California ,CA,90255,33.98271,-118.224752,www.ach.edu/
American College of Healthcare and Technology,Riverside,California ,CA,92505,33.901581,-117.493507,www.ach.edu/
American College of the Building Arts,Charleston,South Carolina ,SC,29403-4223,32.805094,-79.946888,acba.edu/
American Conservatory Theater,San Francisco,California ,CA,94102,37.786923,-122.410265,www.act-sf.org/
American Educational College,Bayamon,Puerto Rico ,PR,00961,18.397931,-66.15099,www.amedcopr.com/
American Film Institute Conservatory,Los Angeles,California ,CA,90027-1625,34.10767,-118.310018,www.afi.com/
American Fitness and Nutrition Academy,Pasadena,California ,CA,91101-3530,34.1397,-118.131854,afna.edu/
American Hair Academy,Mt. Pleasant,Iowa ,IA,52641,40.962643,-91.524949,americanhairacademy.com/
American Indian OIC Inc,Minneapolis,Minnesota ,MN,55404-2221,44.961993,-93.246155,www.aioic.org/
American Institute,Clifton,New Jersey ,NJ,07011-2379,nan,nan,www.americaninstitute.com/
American Institute of Alternative Medicine,East Brunswick,New Jersey ,NJ,08816,40.438155,-74.392845,massageschoolnewjersey.com/
American Institute of Alternative Medicine,Columbus,Ohio ,OH,43229,40.102442,-82.988733,www.aiam.edu/
American Institute of Beauty,Largo,Florida ,FL,33771,27.915072,-82.749094,www.aibschool.edu/
American Institute of Healthcare & Technology,Stratford,Connecticut ,CT,06615-7149,41.170738,-73.150918,https://www.aiht.edu/
American Institute of Interior Design,Scottsdale,Arizona ,AZ,85254,33.60486,-111.715081,https://www.aiid.edu/
American Institute of Massage Therapy,Santa Ana,California ,CA,92705-5401,33.71488,-117.848291,www.aimtinc.com/
American Institute of Medical Sciences & Education,Piscataway,New Jersey ,NJ,08854,40.56114,-74.437251,www.aimseducation.edu/
American Institute-Clifton,CLIFTON,New Jersey ,NJ,07011,40.873516,-74.130158,www.americaninstitute.com/
American Institute-Somerset,Somerset,New Jersey ,NJ,08873-1100,40.55089,-74.544122,www.americaninstitute.com/
American Institute-Toms River,Toms River,New Jersey ,NJ,08755,40.044556,-74.220894,www.americaninstitute.com/
American Institute-West Hartford,West Hartford,Connecticut ,CT,06110-1922,41.727016,-72.725762,americaninstitute.com/
American InterContinental University,Chandler,Arizona ,AZ,85286,33.278816,-111.804036,www.aiuniv.edu/
American InterContinental University-Atlanta,Atlanta,Georgia ,GA,30328,33.938779,-84.354907,www.aiuniv.edu/online-campus/campus-locations/atlanta
American InterContinental University-Houston,Houston,Texas ,TX,77042,29.728216,-95.548302,www.aiuniv.edu/online-campus/campus-locations/houston
American International College,Springfield,Massachusetts ,MA,01109,42.112346,-72.558338,www.aic.edu/
American Islamic College,Chicago,Illinois ,IL,60613,41.954969,-87.646898,www.aicusa.edu/
American Jewish University,Los Angeles,California ,CA,90077-1519,34.128153,-118.471706,www.aju.edu/
American Massage & Bodywork Institute,Vienna,Virginia ,VA,22182-2245,38.926154,-77.244736,www.ambimassageschool.com/
American Medical Academy,Miami,Florida ,FL,33186-4830,25.66273,-80.393361,www.ama.edu/
American Medical Institute Inc.,Houston,Texas ,TX,77099,29.702418,-95.596735,https://amiinc.net/online-cna.html
American Medical Sciences Center,Glendale,California ,CA,91204-5108,34.147117,-118.256991,www.amsc.edu/
American Musical and Dramatic Academy,New York,New York ,NY,10023,40.772275,-73.987549,www.amda.edu/
American National University,Salem,Virginia ,VA,24153,37.299743,-80.023602,https://www.an.edu/locations/
American National University-Pikeville,Pikeville,Kentucky ,KY,41501-1520,37.539398,-82.607154,https://www.an.edu/locations/
American Public University System,Charles Town,West Virginia ,WV,25414,39.287826,-77.860121,https://www.apus.edu/
American River College,Sacramento,California ,CA,95841-4286,38.65085,-121.349672,https://www.arc.losrios.edu/
American Sentinel College of Nursing and Health Sciences,Waterbury,Connecticut ,CT,06723-2540,39.673548,-104.870151,www.americansentinel.edu/
American Technical Institute,Bayamon,Puerto Rico ,PR,00957-0000,18.379307,-66.184489,www.amtec.edu/
American Trade School,Saint Ann,Missouri ,MO,63074-1807,38.72876,-90.380141,www.americantradeschool.edu/
American University,Washington,District of Columbia ,DC,20016-8001,38.936005,-77.088875,www.american.edu/
American University of Health Sciences,Signal Hill,California ,CA,90755-3612,33.796849,-118.171366,https://www.auhs.edu/
American University of Puerto Rico,Bayamon,Puerto Rico ,PR,00960-2037,18.407058,-66.186631,aupr.edu/
American University of Puerto Rico,Manati,Puerto Rico ,PR,00674-1082,18.434072,-66.478655,aupr.edu/
Amherst College,Amherst,Massachusetts ,MA,01002-5000,42.372459,-72.518493,www.amherst.edu/
Amridge University,Montgomery,Alabama ,AL,36117-3553,32.362609,-86.17401,www.amridgeuniversity.edu/
Amslee Institute,Sarasota,Florida ,FL,34240,27.379792,-82.43363,www.amsleeinstitute.com/
Ana G. Mendez University,Orlando,Florida ,FL,32822,18.388698,-66.061339,www.agmu.edu/
Anabaptist Mennonite Biblical Seminary,Elkhart,Indiana ,IN,46517-1999,41.656013,-85.972165,www.ambs.edu/
Ancilla College,Donaldson,Indiana ,IN,46513-0001,41.337958,-86.445263,https://www.ancilla.edu/
Anderson University,Anderson,South Carolina ,SC,29621-4035,34.5152,-82.640358,www.andersonuniversity.edu/
Anderson University,Anderson,Indiana ,IN,46012-3495,40.112768,-85.664315,https://anderson.edu/
Andrew College,Cuthbert,Georgia ,GA,39840-5550,31.772321,-84.795021,www.andrewcollege.edu/
Andrews University,Berrien Springs,Michigan ,MI,49104,41.963859,-86.355815,www.andrews.edu/
Angeles College,Los Angeles,California ,CA,90010,34.061223,-118.29903,https://www.angelescollege.edu/
Angeles Institute,ARTESIA,California ,CA,90701-2713,33.875772,-118.080741,www.angelesinstitute.edu/
Angelina College,Lufkin,Texas ,TX,75902-1768,31.287444,-94.731625,www.angelina.edu/
Angelo State University,San Angelo,Texas ,TX,76909,31.440914,-100.465051,www.angelo.edu/
Ann Webb Skin Institute,Austin,Texas ,TX,78759-3936,30.419687,-97.751895,awskininstitute.com/
Anna Maria College,Paxton,Massachusetts ,MA,01612-1198,42.330542,-71.91896,www.annamaria.edu/
